movie_name,movie_date,score,genre,movie_status,ori_lang,budget,revenue,country
Creed III,2023-02-03,73,"Drama, Action", Released, English,75000000,271616668,AU
Avatar: The Way of Water,12-15-2022 ,78,"Science Fiction, Adventure, Action", Released, English,460000000,2316794914,AU
The Super Mario Bros. Movie,2023-05-04,76,"Animation, Adventure, Family, Fantasy, Comedy", Released, English,100000000,724459031,AU
Mummies,2023-05-01,70,"Animation, Comedy, Family, Adventure, Fantasy", Released," Spanish, Castilian",12300000,34200000,AU
Supercell,03-17-2023 ,61,Action, Released, English,77000000,340941959,US
Cocaine Bear,02-23-2023 ,66,"Thriller, Comedy, Crime", Released, English,35000000,80000000,AU
John Wick: Chapter 4,03-23-2023 ,80,"Action, Thriller, Crime", Released, English,100000000,351349364,AU
Puss in Boots: The Last Wish,12-26-2022 ,83,"Animation, Family, Fantasy, Adventure, Comedy", Released, English,90000000,483480577,AU
Attack on Titan,09-30-2022 ,59,"Action, Science Fiction", Released, English,71000000,254946484,US
The Park,2023-02-03,58,"Action, Drama, Horror, Science Fiction, Thriller", Released, English,119200000,488962491,US
Winnie the Pooh: Blood and Honey,02-14-2023 ,58,"Horror, Thriller", Released, English,100000,3200000,AU
The Exorcist,2022-02-11,55,Horror, Released," Spanish, Castilian",12000000,428214478,MX
Murder Mystery 2,03-31-2023 ,65,"Comedy, Mystery, Action", Released, English,43800000,489543087,AU
Black Panther: Wakanda Forever,2022-10-11,73,"Action, Adventure, Science Fiction", Released, English,250000000,854041058,AU
The Pope's Exorcist,2023-06-04,72,"Horror, Mystery", Released, English,92000000,462216472,AU
Prizefighter: The Life of Jem Belcher,07-22-2022 ,62,"Drama, History", Released, English,77600000,562112551,GB
Knock at the Cabin,2023-02-02,64,"Thriller, Mystery, Horror, Fantasy", Released, English,20000000,54629497,AU
The Devil Conspiracy,01-13-2023 ,65,"Horror, Thriller", Released, English,54060000,492646395,US
Cazadora,01-19-2023 ,57,Thriller, Released," Spanish, Castilian",110400000,318117813,CL
Gold Run,12-15-2022 ,65,"War, Action, Adventure, Thriller", Released, Norwegian,123500000,420430065,NO
The Magician's Elephant,03-17-2023 ,73,"Animation, Adventure, Family, Fantasy", Released, English,82600000,473097257,AU
Plane,01-27-2023 ,69,"Action, Adventure, Thriller", Released, English,25000000,51000000,GB
The Passion of the Christ,02-25-2004 ,74,Drama, Released, English,25000000,622313635,AU
Batman: The Doom That Came to Gotham,03-28-2023 ,64,"Animation, Fantasy, Horror, Action, Mystery", Released, English,145760000,321934831,US
Shazam! Fury of the Gods,03-16-2023 ,69,"Action, Comedy, Fantasy", Released, English,125000000,132107025,AU
Consecration,2023-10-02,65,"Horror, Thriller", Released, English,54060000,492646395,US
Shark Side of the Moon,2022-12-08,53,"Action, Science Fiction, Thriller, Horror", Released, English,10000,17887094,US
Black Adam,10-20-2022 ,71,"Action, Adventure, Science Fiction, Fantasy", Released, English,200000000,391261706,AU
Money Shot: The Pornhub Story,03-15-2023 ,58,Documentary, Released, English,68500000,280052393,US
M3GAN,2023-12-01,74,"Science Fiction, Horror, Comedy", Released, English,12000000,167643991,AU
Ant-Man and the Wasp: Quantumania,02-16-2023 ,63,"Science Fiction, Adventure, Action", Released, English,200000000,466001332,AU
Sayen,2023-03-03,62,"Thriller, Action", Released," Spanish, Castilian",73800000,370426091,CL
Die Hart,02-24-2023 ,62,"Action, Comedy, Thriller", Released, English,113000000,369995579,US
13 Exorcisms,2022-04-11,55,"Drama, Horror", Released," Spanish, Castilian",2480000,1891519,ES
H.P. Lovecraft's Witch House,06-29-2022 ,60,Horror, Released, English,146740000,301123555,US
John Wick: Chapter 2,05-18-2017 ,73,"Action, Thriller, Crime", Released, English,40000000,171539887,AU
Sick,09-24-2022 ,63,"Horror, Thriller", Released, English,81800000,408307378,US
Black Warrant,2023-01-03,54,"Action, Thriller", Released, English,116000000,378399281,AU
Shotgun Wedding,01-26-2023 ,63,"Action, Comedy, Romance", Released, English,16050000,4495365,AU
John Wick: Chapter 3 - Parabellum,05-16-2019 ,74,"Action, Thriller, Crime", Released, English,55000000,326709727,AU
Legion of Super-Heroes,2023-07-02,63,"Animation, Action, Science Fiction", Released, English,113400000,778431865,US
Fall,09-22-2022 ,73,"Thriller, Drama", Released, English,3000000,16120263,AU
Lord of the Streets,04-22-2022 ,52,Action, Released, English,1000000,22790427,US
Little Dixie,2023-03-02,60,"Thriller, Action, Drama, Crime", Released, English,141340000,748525217,US
The Whale,2023-02-02,81,Drama, Released, English,3000000,36752010,AU
Prey for the Devil,10-28-2022 ,71,"Horror, Thriller", Released, English,27240305,37655699,US
Bandit,09-23-2022 ,62,"Crime, Drama, Thriller", Released, English,115000000,484414431,US
Roald Dahl's Matilda the Musical,2022-08-12,68,"Family, Comedy, Fantasy", Released, English,25000000,13276499,AU
The Simpsons Meet the Bocellis in Feliz Navidad,12-15-2022 ,52,"Animation, Family, Comedy", Released, English,97200000,425726914,US
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,02-25-2021 ,83,"Animation, Action, Adventure, Fantasy, Thriller", Released, Japanese,15800000,503063688,AU
Huesera: The Bone Woman,02-23-2023 ,58,"Drama, Horror, Mystery", Released," Spanish, Castilian",135000000,670271186,MX
The Last Heretic,2022-09-11,55,"Thriller, Horror", Released," Spanish, Castilian",122400000,344127932,AR
JUNG_E,01-20-2023 ,63,"Science Fiction, Action, Adventure", Released, Korean,66240000,580188584,KR
A Man Called Otto,2023-01-01,79,"Comedy, Drama", Released, English,50000000,108973274,AU
Champions,2023-09-03,68,Comedy, Released, English,51880004,9263009,AU
Dungeons & Dragons: Honor Among Thieves,03-30-2023 ,76,"Adventure, Fantasy, Comedy", Released, English,150000000,158598670,AU
Troll,2022-01-12,68,"Fantasy, Action, Adventure, Thriller", Released, Norwegian,121400000,977795653,AU
Sonic the Hedgehog 2,03-31-2022 ,76,"Action, Adventure, Family, Comedy", Released, English,90000000,405421518,AU
A Bronx Tale,05-20-1994 ,78,"Drama, Crime", Released, English,10000000,17287898,AU
Big Trip 2: Special Delivery,01-19-2023 ,65,"Animation, Family, Adventure, Comedy", Released, Russian,95200000,416119951,AU
Encanto at the Hollywood Bowl,12-28-2022 ,73,Music, Released, English,127000000,533207057,US
The Forbidden Legend: Sex & Chopsticks 2,2009-04-03,60,"Comedy, Drama, Romance", Released, Cantonese,89600000,318375960,HK
Top Gun: Maverick,05-26-2022 ,83,"Action, Drama", Released, English,170000000,1481369482,AU
On a Wing and a Prayer,2023-06-04,65,"Drama, Thriller", Released, English,147400000,445526735,US
Sniper: The White Raven,08-24-2022 ,76,"War, Drama", Released, Ukrainian,1000000,102414815,UA
The Enforcer,2022-01-12,74,"Action, Crime, Drama, Thriller", Released, English,1261569,102023958,AU
Diabolik - Ginko Attacks,11-17-2022 ,57,"Crime, Action", Released, Italian,21680000,1228459,IT
Scream VI,2023-09-03,73,"Horror, Mystery, Thriller", Released, English,35000000,167273149,AU
Avatar,12-17-2009 ,76,"Action, Adventure, Fantasy, Science Fiction", Released, English,237000000,2923706026,AU
Breaking,08-26-2022 ,67,"Crime, Drama, Thriller", Released, English,72000000,318039059,US
Tetris,03-31-2023 ,78,"Thriller, History, Drama", Released, English,172000000,594334899,GB
65,2023-09-03,63,"Thriller, Science Fiction, Action", Released, English,45000000,56072012,AU
Thor: Love and Thunder,2022-06-07,66,"Fantasy, Action, Comedy", Released, English,250000000,760928081,AU
Arctic Void,01-14-2022 ,47,"Science Fiction, Thriller", Released, English,147200000,872776677,US
Terrifier 2,10-28-2022 ,69,Horror, Released, English,250000,12964783,AU
John Wick,11-26-2014 ,74,"Action, Thriller", Released, English,30000000,75958800,AU
Spider-Man: No Way Home,12-16-2021 ,80,"Action, Adventure, Science Fiction", Released, English,200000000,1910048245,AU
R.I.P.D. 2: Rise of the Damned,11-15-2022 ,66,"Action, Comedy, Fantasy, Crime", Released, English,52000000,539054107,US
Dolphin Boy,2022-07-04,65,"Animation, Adventure, Fantasy, Comedy", Released, Russian,115000000,489779661,RU
Guillermo del Toro's Pinocchio,11-24-2022 ,82,"Animation, Fantasy, Drama, Music", Released, English,35000000,81567666,AU
A Frozen Rooster,12-14-2022 ,79,"Animation, Adventure, Comedy, Family", Released," Spanish, Castilian",113880000,604874932,MX
Dragon Ball Super: Super Hero,08-18-2022 ,79,"Animation, Science Fiction, Action", Released, Japanese,43602530,86562140,AU
Nocebo,2022-04-11,63,"Mystery, Thriller, Horror", Released, English,112000000,586323916,US
Prey,2022-05-08,78,"Thriller, Action, Science Fiction", Released, English,65000000,0,AU
Hex,2022-01-11,61,"Action, Horror, Thriller", Released, English,117480000,457839056,US
Medieval,2022-09-09,72,"Action, Drama, History", Released, English,23000000,4311284,US
Barbie: Skipper and the Big Babysitting Adventure,03-16-2023 ,73,"Family, Animation", Released, English,134400000,716009340,US
